subID,Grit_score,BSCS_score,BFI_E_score,BFI_A_score,BFI_C_score,BFI_N_score,BFI_O_score,Planfulness_score,r1.descriptiveness,r2.descriptiveness,r3.descriptiveness,r1.planfulness,r2.planfulness,r3.planfulness,Count,term,descriptiveness.average,planfulness.average
9660851,3.416666667,3.076923077,3.383333333,3.350546448,3.060223867,3.155461963,3.436711963,3,3,1,2,1,1,1,35,winter,2,1
9655426,4.333333333,4.076923077,3.05,3.148360656,3.245134849,2.70545231,3.17420231,3.833333333,0,0,0,0,0,0,46,fall,0,0
9655426,4.333333333,4.076923077,3.05,3.148360656,3.245134849,2.70545231,3.17420231,3.833333333,0,0,0,0,0,0,73,winter,0,0
9640166,4.25,3.461538462,3.433333333,3.203825137,3.268341266,3.363579361,3.519829361,4.433333333,3,3,2,1,2,4,4,fall,2.666666667,2.333333333
9640166,4.25,3.461538462,3.433333333,3.203825137,3.268341266,3.363579361,3.519829361,4.433333333,3,3,2,1,2,4,17,winter,2.666666667,2.333333333
9615390,4.083333333,3.538461538,3.5,3.43442623,3.176361713,2.890647428,3.390647428,3.6,3,1,2,2,2,3,8,fall,2,2.333333333
9615390,4.083333333,3.538461538,3.5,3.43442623,3.176361713,2.890647428,3.390647428,3.6,3,1,2,2,2,3,36,winter,2,2.333333333
9603803,3.666666667,2.846153846,3.583333333,3.550546448,3.292481932,3.006767646,3.506767646,3.066666667,3,1,2,1,2,2,12,fall,2,1.666666667
9603803,3.666666667,2.846153846,3.583333333,3.550546448,3.292481932,3.006767646,3.506767646,3.066666667,3,1,2,1,2,2,36,winter,2,1.666666667
9601316,3.916666667,3,3.933333333,3.933333333,3.772043011,3.58156682,3.55031682,4.033333333,3,2,1,1,2,1,27,fall,2,1.333333333
9601316,3.916666667,3,3.933333333,3.933333333,3.772043011,3.58156682,3.55031682,4.033333333,3,2,1,1,2,1,32,winter,2,1.333333333
9577315,3.666666667,4.230769231,3.283333333,3.480054645,3.318764322,2.874319878,3.093069878,3.166666667,2,1,2,1,2,1,21,fall,1.666666667,1.333333333
9577315,3.666666667,4.230769231,3.283333333,3.480054645,3.318764322,2.874319878,3.093069878,3.166666667,2,1,2,1,2,1,33,winter,1.666666667,1.333333333
9567472,3.583333333,4.076923077,3.216666667,3.183879781,3.345170104,3.027709787,3.558959787,4.633333333,2,2,3,4,5,5,41,fall,2.333333333,4.666666667
9567472,3.583333333,4.076923077,3.216666667,3.183879781,3.345170104,3.027709787,3.558959787,4.633333333,2,2,3,4,5,5,40,winter,2.333333333,4.666666667
9545166,3.5,3.384615385,3.35,3.251639344,3.154865151,3.027881024,3.340381024,3.966666667,2,2,3,5,5,5,52,fall,2.333333333,5
9545166,3.5,3.384615385,3.35,3.251639344,3.154865151,3.027881024,3.340381024,3.966666667,2,2,3,5,5,5,60,winter,2.333333333,5
9426570,2.75,3.461538462,3.116666667,3.149453552,3.181711616,2.895997331,3.145997331,3.5,1,1,1,2,1,1,44,fall,1,1.333333333
9426570,2.75,3.461538462,3.116666667,3.149453552,3.181711616,2.895997331,3.145997331,3.5,1,1,1,2,1,1,44,winter,1,1.333333333
9406228,4,3.846153846,3.183333333,3.314480874,3.346738939,2.870548463,3.433048463,3.4,1,2,3,5,4,5,7,fall,2,4.666666667
9406228,4,3.846153846,3.183333333,3.314480874,3.346738939,2.870548463,3.433048463,3.4,1,2,3,5,4,5,30,winter,2,4.666666667
9385741,3,3.153846154,3,3.032786885,2.968270756,2.714302502,3.089302502,3.7,1,1,1,1,2,1,29,fall,1,1.333333333
9385741,3,3.153846154,3,3.032786885,2.968270756,2.714302502,3.089302502,3.7,1,1,1,1,2,1,51,winter,1,1.333333333
9371079,3.5,2.153846154,3.433333333,3.302185792,3.269927728,3.206435664,3.487685664,3.466666667,2,2,2,1,2,1,56,fall,2,1.333333333
9371079,3.5,2.153846154,3.433333333,3.302185792,3.269927728,3.206435664,3.487685664,3.466666667,2,2,2,1,2,1,24,winter,2,1.333333333
9364184,3.916666667,4.538461538,3.433333333,3.433333333,3.62688172,2.89672299,3.55297299,4.333333333,1,1,1,2,1,2,13,fall,1,1.666666667
9364184,3.916666667,4.538461538,3.433333333,3.433333333,3.62688172,2.89672299,3.55297299,4.333333333,1,1,1,2,1,2,36,winter,1,1.666666667
9347987,4.333333333,3.769230769,3.45,3.253278689,3.317794818,2.746366246,3.402616246,4.4,1,2,1,2,2,1,35,fall,1.333333333,1.666666667
9347987,4.333333333,3.769230769,3.45,3.253278689,3.317794818,2.746366246,3.402616246,4.4,1,2,1,2,2,1,41,winter,1.333333333,1.666666667
9296431,2.583333333,2.461538462,3,3.196721311,2.97091486,2.875676765,3.250676765,3,2,2,2,2,2,2,0,fall,2,2
9296431,2.583333333,2.461538462,3,3.196721311,2.97091486,2.875676765,3.250676765,3,2,2,2,2,2,2,17,winter,2,2
9275818,3.416666667,2.923076923,3.6,3.6,3.632258065,3.568766001,3.631266001,3.466666667,1,2,2,2,2,3,0,fall,1.666666667,2.333333333
9275818,3.416666667,2.923076923,3.6,3.6,3.632258065,3.568766001,3.631266001,3.466666667,1,2,2,2,2,3,27,winter,1.666666667,2.333333333
9188921,3.833333333,3.153846154,3.1,3.427868852,3.363352723,2.918908279,3.450158279,3.7,2,2,3,2,2,2,34,fall,2.333333333,2
9188921,3.833333333,3.153846154,3.1,3.427868852,3.363352723,2.918908279,3.450158279,3.7,2,2,3,2,2,2,7,winter,2.333333333,2
9166862,3,2.538461538,3.433333333,3.269398907,3.333915036,3.429153131,3.147903131,3.6,1,2,2,3,4,3,31,fall,1.666666667,3.333333333
9166862,3,2.538461538,3.433333333,3.269398907,3.333915036,3.429153131,3.147903131,3.6,1,2,2,3,4,3,53,winter,1.666666667,3.333333333
9090959,3.333333333,3.076923077,3.183333333,3.248907104,2.990842588,2.959096556,3.396596556,3.833333333,2,3,2,2,3,2,41,fall,2.333333333,2.333333333
9090959,3.333333333,3.076923077,3.183333333,3.248907104,2.990842588,2.959096556,3.396596556,3.833333333,2,3,2,2,3,2,49,winter,2.333333333,2.333333333
9047427,4.166666667,3.153846154,3.283333333,3.086612022,3.280160409,2.93095406,3.14970406,4.066666667,1,1,1,2,1,1,50,fall,1,1.333333333
9047427,4.166666667,3.153846154,3.283333333,3.086612022,3.280160409,2.93095406,3.14970406,4.066666667,1,1,1,2,1,1,71,winter,1,1.333333333
8955816,3.583333333,3.769230769,3.15,3.346721311,3.153172924,2.676982448,3.176982448,3.233333333,1,1,1,1,1,1,21,fall,1,1
8955816,3.583333333,3.769230769,3.15,3.346721311,3.153172924,2.676982448,3.176982448,3.233333333,1,1,1,1,1,1,20,winter,1,1
8955739,3.25,3.307692308,3.266666667,3.266666667,3.202150538,3.138658474,3.357408474,3.7,1,1,1,2,1,2,0,fall,1,1.666666667
8955739,3.25,3.307692308,3.266666667,3.266666667,3.202150538,3.138658474,3.357408474,3.7,1,1,1,2,1,2,18,winter,1,1.666666667
8941162,3.833333333,3.615384615,3.233333333,3.528415301,3.302608849,3.334354881,3.459354881,4,1,1,2,4,3,3,42,fall,1.333333333,3.333333333
8941162,3.833333333,3.615384615,3.233333333,3.528415301,3.302608849,3.334354881,3.459354881,4,1,1,2,4,3,3,38,winter,1.333333333,3.333333333
8934989,3.166666667,1.923076923,3.466666667,3.335519126,3.174228803,3.396451025,3.333951025,3.166666667,2,2,1,2,2,3,15,fall,1.666666667,2.333333333
8934989,3.166666667,1.923076923,3.466666667,3.335519126,3.174228803,3.396451025,3.333951025,3.166666667,2,2,1,2,2,3,31,winter,1.666666667,2.333333333
8898997,3.5,3.076923077,3,3.229508197,3.132734003,3.196226067,3.039976067,3.2,1,2,2,2,3,1,12,fall,1.666666667,2
8898997,3.5,3.076923077,3,3.229508197,3.132734003,3.196226067,3.039976067,3.2,1,2,2,2,3,1,31,winter,1.666666667,2
8887881,3.5,2.923076923,3.266666667,3.299453552,3.170421294,3.265659389,3.328159389,3.466666667,2,2,1,2,3,3,26,fall,1.666666667,2.666666667
8887881,3.5,2.923076923,3.266666667,3.299453552,3.170421294,3.265659389,3.328159389,3.466666667,2,2,1,2,3,3,33,winter,1.666666667,2.666666667
8843383,3.666666667,3.461538462,2.966666667,3.097814208,3.194588401,3.099350306,2.943100306,3.7,1,3,2,2,3,3,19,fall,2,2.666666667
8843383,3.666666667,3.461538462,2.966666667,3.097814208,3.194588401,3.099350306,2.943100306,3.7,1,3,2,2,3,3,26,winter,2,2.666666667
8841748,3.333333333,3.153846154,3.533333333,3.238251366,3.33502556,3.081057306,3.268557306,3.933333333,1,2,2,3,3,4,25,fall,1.666666667,3.333333333
8841748,3.333333333,3.153846154,3.533333333,3.238251366,3.33502556,3.081057306,3.268557306,3.933333333,1,2,2,3,3,4,42,winter,1.666666667,3.333333333
8794757,2.083333333,2.615384615,3.166666667,3.101092896,3.165609025,3.578307438,3.234557438,2.766666667,2,1,1,2,1,1,9,fall,1.333333333,1.333333333
8794757,2.083333333,2.615384615,3.166666667,3.101092896,3.165609025,3.578307438,3.234557438,2.766666667,2,1,1,2,1,1,7,winter,1.333333333,1.333333333
8750230,3.916666667,3.615384615,3.45,3.318852459,3.447884717,2.812964082,3.187964082,3.833333333,3,2,2,2,2,4,23,fall,2.333333333,2.666666667
8750230,3.916666667,3.615384615,3.45,3.318852459,3.447884717,2.812964082,3.187964082,3.833333333,3,2,2,2,2,4,36,winter,2.333333333,2.666666667
8747006,2.916666667,3.846153846,3.05,3.246721311,3.278979376,3.056757154,3.244257154,3.766666667,2,1,2,2,1,1,51,fall,1.666666667,1.333333333
8747006,2.916666667,3.846153846,3.05,3.246721311,3.278979376,3.056757154,3.244257154,3.766666667,2,1,2,2,1,1,64,winter,1.666666667,1.333333333
8741987,2.916666667,2.538461538,3.116666667,3.247814208,3.054265821,3.212995979,3.431745979,3.1,2,1,2,2,2,2,20,fall,1.666666667,2
8741987,2.916666667,2.538461538,3.116666667,3.247814208,3.054265821,3.212995979,3.431745979,3.1,2,1,2,2,2,2,13,winter,1.666666667,2
8737292,4.333333333,3.846153846,3.55,3.582786885,3.711819143,3.203882635,3.672632635,4.166666667,3,3,3,3,4,4,95,fall,3,3.666666667
8737292,4.333333333,3.846153846,3.55,3.582786885,3.711819143,3.203882635,3.672632635,4.166666667,3,3,3,3,4,4,97,winter,3,3.666666667
8712837,3.833333333,3.384615385,3.216666667,3.216666667,3.184408602,3.470122888,3.563872888,3.3,2,2,3,2,3,2,20,fall,2.333333333,2.333333333
8712837,3.833333333,3.384615385,3.216666667,3.216666667,3.184408602,3.470122888,3.563872888,3.3,2,2,3,2,3,2,24,winter,2.333333333,2.333333333
8708719,4.083333333,3.615384615,3.466666667,3.204371585,3.720500617,3.212564109,3.650064109,4.333333333,2,1,1,4,3,3,39,fall,1.333333333,3.333333333
8708719,4.083333333,3.615384615,3.466666667,3.204371585,3.720500617,3.212564109,3.650064109,4.333333333,2,1,1,4,3,3,88,winter,1.333333333,3.333333333
8663947,3.666666667,3.692307692,3.4,3.203278689,3.461343205,3.302613046,3.365113046,3.966666667,1,1,1,1,1,1,53,fall,1,1
8663947,3.666666667,3.692307692,3.4,3.203278689,3.461343205,3.302613046,3.365113046,3.966666667,1,1,1,1,1,1,62,winter,1,1
8662560,2.333333333,3,3.2,3.429508197,3.494024326,3.557516389,3.213766389,3.566666667,2,1,1,3,3,3,21,fall,1.333333333,3
8662560,2.333333333,3,3.2,3.429508197,3.494024326,3.557516389,3.213766389,3.566666667,2,1,1,3,3,3,21,winter,1.333333333,3
8645963,2.5,2.384615385,3.45,3.581147541,3.452115283,3.674337505,3.643087505,3.066666667,1,2,3,4,4,4,28,fall,2,4
8645963,2.5,2.384615385,3.45,3.581147541,3.452115283,3.674337505,3.643087505,3.066666667,1,2,3,4,4,4,27,winter,2,4
8493302,4,3.615384615,3.566666667,3.468306011,3.53282214,3.024885632,3.306135632,4.2,1,2,1,3,2,2,26,fall,1.333333333,2.333333333
8493302,4,3.615384615,3.566666667,3.468306011,3.53282214,3.024885632,3.306135632,4.2,1,2,1,3,2,2,53,winter,1.333333333,2.333333333
8455627,3.5,3.846153846,3.266666667,3.135519126,3.264551384,2.947091066,3.540841066,3.033333333,2,2,1,3,2,2,29,fall,1.666666667,2.333333333
8455627,3.5,3.846153846,3.266666667,3.135519126,3.264551384,2.947091066,3.540841066,3.033333333,2,2,1,3,2,2,27,winter,1.666666667,2.333333333
8444711,3.5,3.461538462,3.05,3.148360656,3.245134849,3.022912627,3.304162627,3.433333333,2,1,1,2,2,2,25,fall,1.333333333,2
8444711,3.5,3.461538462,3.05,3.148360656,3.245134849,3.022912627,3.304162627,3.433333333,2,1,1,2,2,2,29,winter,1.333333333,2
8408469,3.916666667,4,3.216666667,3.183879781,3.345170104,2.773741533,3.117491533,4.2,1,1,1,2,1,1,21,fall,1,1.333333333
8408469,3.916666667,4,3.216666667,3.183879781,3.345170104,2.773741533,3.117491533,4.2,1,1,1,2,1,1,30,winter,1,1.333333333
8407341,4.333333333,3.230769231,3.55,3.222131148,3.38342147,3.288183375,3.381933375,4.3,2,2,2,4,4,4,38,fall,2,4
8407341,4.333333333,3.230769231,3.55,3.222131148,3.38342147,3.288183375,3.381933375,4.3,2,2,2,4,4,4,37,winter,2,4
8376713,3.25,3.307692308,3.316666667,3.447814208,3.222007756,3.126769661,3.533019661,3.166666667,1,1,1,2,1,1,28,fall,1,1.333333333
8376713,3.25,3.307692308,3.316666667,3.447814208,3.222007756,3.126769661,3.533019661,3.166666667,1,1,1,2,1,1,36,winter,1,1.333333333
8375467,2.916666667,2.615384615,3.65,3.551639344,3.454865151,3.359627055,3.672127055,3.633333333,1,1,2,2,1,1,49,fall,1.333333333,1.333333333
8375467,2.916666667,2.615384615,3.65,3.551639344,3.454865151,3.359627055,3.672127055,3.633333333,1,1,2,2,1,1,54,winter,1.333333333,1.333333333
8372610,3.916666667,3.769230769,3.033333333,3.328415301,3.360673365,3.074959079,3.387459079,3.866666667,1,1,1,2,3,4,27,fall,1,3
8372610,3.916666667,3.769230769,3.033333333,3.328415301,3.360673365,3.074959079,3.387459079,3.866666667,1,1,1,2,3,4,40,winter,1,3
8276906,4.416666667,3.230769231,3.733333333,3.536612022,3.794676538,3.572454316,3.728704316,4.666666667,2,2,2,2,2,2,1,fall,2,2
8276906,4.416666667,3.230769231,3.733333333,3.536612022,3.794676538,3.572454316,3.728704316,4.666666667,2,2,2,2,2,2,46,winter,2,2
8251996,3.25,3.384615385,3.383333333,3.416120219,3.319346025,3.319346025,3.569346025,3.766666667,1,1,1,2,1,1,59,fall,1,1.333333333
8251996,3.25,3.384615385,3.383333333,3.416120219,3.319346025,3.319346025,3.569346025,3.766666667,1,1,1,2,1,1,62,winter,1,1.333333333
8201679,3.5,2.692307692,3.116666667,3.444535519,3.186471003,2.742026559,3.210776559,2.933333333,2,1,1,1,1,1,14,fall,1.333333333,1
8201679,3.5,2.692307692,3.116666667,3.444535519,3.186471003,2.742026559,3.210776559,2.933333333,2,1,1,1,1,1,3,winter,1.333333333,1
8132502,3.25,3.538461538,3.316666667,3.251092896,3.218834832,3.441057054,3.472307054,3.7,2,1,1,2,1,1,0,fall,1.333333333,1.333333333
8132502,3.25,3.538461538,3.316666667,3.251092896,3.218834832,3.441057054,3.472307054,3.7,2,1,1,2,1,1,5,winter,1.333333333,1.333333333
8119386,3.166666667,2.692307692,3.216666667,3.183879781,2.990331394,2.958585363,3.271085363,3.366666667,2,2,2,2,2,2,49,fall,2,2
8119386,3.166666667,2.692307692,3.216666667,3.183879781,2.990331394,2.958585363,3.271085363,3.366666667,2,2,2,2,2,2,55,winter,2,2
8081236,4.833333333,4.384615385,3.5,3.467213115,3.499471179,2.832804513,3.239054513,4.166666667,2,1,1,1,1,1,6,fall,1.333333333,1
8081236,4.833333333,4.384615385,3.5,3.467213115,3.499471179,2.832804513,3.239054513,4.166666667,2,1,1,1,1,1,11,winter,1.333333333,1
8068657,3,2.769230769,3.3,3.23442623,3.395716552,3.427462584,3.552462584,3.466666667,1,2,2,2,2,1,7,fall,1.666666667,1.666666667
8068657,3,2.769230769,3.3,3.23442623,3.395716552,3.427462584,3.552462584,3.466666667,1,2,2,2,2,1,33,winter,1.666666667,1.666666667
8066597,4.25,4,3.65,3.420491803,3.646298255,3.233599842,3.358599842,4,0,0,0,0,0,0,56,fall,0,0
8066597,4.25,4,3.65,3.420491803,3.646298255,3.233599842,3.358599842,4,0,0,0,0,0,0,51,winter,0,0
8048076,2.833333333,3.307692308,3.066666667,3.066666667,3.131182796,3.004198669,3.066698669,3.566666667,1,1,1,1,1,1,38,fall,1,1
8048076,2.833333333,3.307692308,3.066666667,3.066666667,3.131182796,3.004198669,3.066698669,3.566666667,1,1,1,1,1,1,41,winter,1,1
7995717,3.333333333,3.846153846,3.35,3.317213115,3.478503437,3.192789152,3.317789152,3.666666667,1,3,2,3,5,4,12,fall,2,4
7995717,3.333333333,3.846153846,3.35,3.317213115,3.478503437,3.192789152,3.317789152,3.666666667,1,3,2,3,5,4,41,winter,2,4
7977801,3.416666667,4.076923077,3.05,3.148360656,3.019328398,2.797106175,3.047106175,3.8,1,3,2,3,4,4,48,fall,2,3.666666667
7977801,3.416666667,4.076923077,3.05,3.148360656,3.019328398,2.797106175,3.047106175,3.8,1,3,2,3,4,4,54,winter,2,3.666666667
7891486,4,3.692307692,3.133333333,3.067759563,3.164533756,2.974057566,3.286557566,3.933333333,1,2,1,2,2,3,11,fall,1.333333333,2.333333333
7891486,4,3.692307692,3.133333333,3.067759563,3.164533756,2.974057566,3.286557566,3.933333333,1,2,1,2,2,3,29,winter,1.333333333,2.333333333
7791280,3.333333333,2.307692308,3.466666667,3.499453552,3.338163229,3.750861642,3.563361642,3.4,2,2,1,1,4,2,21,fall,1.666666667,2.333333333
7791280,3.333333333,2.307692308,3.466666667,3.499453552,3.338163229,3.750861642,3.563361642,3.4,2,2,1,1,4,2,33,winter,1.666666667,2.333333333
7784811,3.916666667,3.846153846,3.683333333,3.421038251,3.550070509,3.296102255,3.764852255,4.066666667,1,1,2,1,2,1,0,fall,1.333333333,1.333333333
7784811,3.916666667,3.846153846,3.683333333,3.421038251,3.550070509,3.296102255,3.764852255,4.066666667,1,1,2,1,2,1,25,winter,1.333333333,1.333333333
7752402,3.583333333,4,2.85,3.046721311,3.17575357,3.17575357,3.05075357,3.733333333,3,3,3,4,5,5,61,fall,3,4.666666667
7752402,3.583333333,4,2.85,3.046721311,3.17575357,3.17575357,3.05075357,3.733333333,3,3,3,4,5,5,61,winter,3,4.666666667
7749203,3.5,2.461538462,3.3,3.168852459,3.297884717,3.329630749,3.235880749,3.933333333,2,3,3,3,4,3,14,fall,2.666666667,3.333333333
7749203,3.5,2.461538462,3.3,3.168852459,3.297884717,3.329630749,3.235880749,3.933333333,2,3,3,3,4,3,58,winter,2.666666667,3.333333333
7739613,3,3,3,3,3,3,3,3,1,1,1,1,1,1,3,fall,1,1
7739613,3,3,3,3,3,3,3,3,1,1,1,1,1,1,7,winter,1,1
7700527,4.083333333,4.615384615,3.1,3.1,3.519354839,3.233640553,3.171140553,3.333333333,3,3,1,3,5,2,18,fall,2.333333333,3.333333333
7700527,4.083333333,4.615384615,3.1,3.1,3.519354839,3.233640553,3.171140553,3.333333333,3,3,1,3,5,2,16,winter,2.333333333,3.333333333
7515773,2.833333333,3.461538462,3.216666667,3.708469945,3.514921558,3.070477114,3.507977114,4,1,2,3,2,3,4,52,fall,2,3
7515773,2.833333333,3.461538462,3.216666667,3.708469945,3.514921558,3.070477114,3.507977114,4,1,2,3,2,3,4,41,winter,2,3
7514395,3.583333333,3.692307692,3.65,3.453278689,3.453278689,3.326294562,3.763794562,3.7,2,3,3,2,3,1,24,fall,2.666666667,2
7514395,3.583333333,3.692307692,3.65,3.453278689,3.453278689,3.326294562,3.763794562,3.7,2,3,3,2,3,1,21,winter,2.666666667,2
7502556,3.75,4.153846154,2.983333333,3.311202186,3.311202186,2.803265678,3.240765678,3.766666667,1,2,3,4,3,2,21,fall,2,3
7502556,3.75,4.153846154,2.983333333,3.311202186,3.311202186,2.803265678,3.240765678,3.766666667,1,2,3,4,3,2,21,winter,2,3
7479255,3.75,3.923076923,3.333333333,3.005464481,3.392561255,2.884624747,3.197124747,4.433333333,1,2,1,3,5,3,26,fall,1.333333333,3.666666667
7479255,3.75,3.923076923,3.333333333,3.005464481,3.392561255,2.884624747,3.197124747,4.433333333,1,2,1,3,5,3,46,winter,1.333333333,3.666666667
7455922,3.666666667,2.923076923,3.216666667,3.511748634,3.285942182,3.254196151,3.160446151,3.766666667,1,1,2,2,2,2,40,fall,1.333333333,2
7455922,3.666666667,2.923076923,3.216666667,3.511748634,3.285942182,3.254196151,3.160446151,3.766666667,1,1,2,2,2,2,52,winter,1.333333333,2
7448820,3.75,3.461538462,3.65,3.420491803,3.420491803,3.293507676,3.387257676,3.633333333,1,1,1,1,1,1,12,fall,1,1
7448820,3.75,3.461538462,3.65,3.420491803,3.420491803,3.293507676,3.387257676,3.633333333,1,1,1,1,1,1,31,winter,1,1
7406147,3.833333333,4.230769231,3.333333333,3.431693989,3.205887537,2.729697061,3.323447061,4.066666667,1,2,2,2,2,2,5,fall,1.666666667,2
7406147,3.833333333,4.230769231,3.333333333,3.431693989,3.205887537,2.729697061,3.323447061,4.066666667,1,2,2,2,2,2,8,winter,1.666666667,2
7378094,3.333333333,3.153846154,3.1,3.263934426,3.199418297,3.008942107,3.071442107,3.766666667,1,1,1,1,1,1,19,fall,1,1
7378094,3.333333333,3.153846154,3.1,3.263934426,3.199418297,3.008942107,3.071442107,3.766666667,1,1,1,1,1,1,31,winter,1,1
7348242,2.333333333,2.461538462,3.566666667,3.238797814,3.432346201,3.59107636,3.68482636,3.1,2,2,1,3,2,4,31,fall,1.666666667,3
7348242,2.333333333,2.461538462,3.566666667,3.238797814,3.432346201,3.59107636,3.68482636,3.1,2,2,1,3,2,4,36,winter,1.666666667,3
7339014,3.583333333,3.846153846,3.183333333,3.380054645,3.315538516,2.934586135,3.184586135,3.466666667,2,1,1,1,2,1,13,fall,1.333333333,1.333333333
7339014,3.583333333,3.846153846,3.183333333,3.380054645,3.315538516,2.934586135,3.184586135,3.466666667,2,1,1,1,2,1,33,winter,1.333333333,1.333333333
7329754,3,3.692307692,3.266666667,3.365027322,3.235995064,2.823296652,3.292046652,4.1,3,3,3,4,5,5,34,fall,3,4.666666667
7329754,3,3.692307692,3.266666667,3.365027322,3.235995064,2.823296652,3.292046652,4.1,3,3,3,4,5,5,40,winter,3,4.666666667
7315112,3.166666667,3,3.416666667,3.318306011,3.350564075,3.191833917,3.379333917,3.066666667,2,2,2,4,3,4,12,fall,2,3.666666667
7315112,3.166666667,3,3.416666667,3.318306011,3.350564075,3.191833917,3.379333917,3.066666667,2,2,2,4,3,4,47,winter,2,3.666666667
7223859,3.416666667,3,3.166666667,3.56010929,3.56010929,3.274395004,3.086895004,3.666666667,3,3,2,5,5,3,6,fall,2.666666667,4.333333333
7223859,3.416666667,3,3.166666667,3.56010929,3.56010929,3.274395004,3.086895004,3.666666667,3,3,2,5,5,3,42,winter,2.666666667,4.333333333
7099868,3.75,3.384615385,3.233333333,3.39726776,3.235977437,3.235977437,3.267227437,3.233333333,1,2,2,4,2,3,16,fall,1.666666667,3
7099868,3.75,3.384615385,3.233333333,3.39726776,3.235977437,3.235977437,3.267227437,3.233333333,1,2,2,4,2,3,30,winter,1.666666667,3
7067481,3.666666667,3.230769231,3.266666667,3.201092896,3.168834832,2.978358641,3.290858641,3.533333333,1,2,2,2,2,3,48,fall,1.666666667,2.333333333
7067481,3.666666667,3.230769231,3.266666667,3.201092896,3.168834832,2.978358641,3.290858641,3.533333333,1,2,2,2,2,3,64,winter,1.666666667,2.333333333
7024710,2.666666667,3.307692308,3.516666667,3.516666667,3.419892473,3.419892473,3.482392473,3.8,1,1,1,2,1,1,4,fall,1,1.333333333
7024710,2.666666667,3.307692308,3.516666667,3.516666667,3.419892473,3.419892473,3.482392473,3.8,1,1,1,2,1,1,68,winter,1,1.333333333
7018231,4,4.769230769,3.616666667,3.419945355,3.871558258,3.36362175,3.64487175,4.566666667,2,2,1,2,3,3,38,fall,1.666666667,2.666666667
7018231,4,4.769230769,3.616666667,3.419945355,3.871558258,3.36362175,3.64487175,4.566666667,2,2,1,2,3,3,43,winter,1.666666667,2.666666667
6976755,3.583333333,3.384615385,2.916666667,3.31010929,3.116560903,3.021322807,3.271322807,3.066666667,2,2,1,3,2,2,22,fall,1.666666667,2.333333333
6976755,3.583333333,3.384615385,2.916666667,3.31010929,3.116560903,3.021322807,3.271322807,3.066666667,2,2,1,3,2,2,39,winter,1.666666667,2.333333333
6974062,2.5,2.846153846,3.05,2.951639344,3.016155473,2.857425315,3.201175315,2.7,2,3,2,5,4,3,8,fall,2.333333333,4
6974062,2.5,2.846153846,3.05,2.951639344,3.016155473,2.857425315,3.201175315,2.7,2,3,2,5,4,3,20,winter,2.333333333,4
6966788,3.666666667,3.076923077,3.666666667,3.273224044,3.208707915,3.272199978,3.459699978,4.366666667,3,3,1,2,4,2,2,fall,2.333333333,2.666666667
6966788,3.666666667,3.076923077,3.666666667,3.273224044,3.208707915,3.272199978,3.459699978,4.366666667,3,3,1,2,4,2,21,winter,2.333333333,2.666666667
