subID,Grit_score,BSCS_score,BFI_E_score,BFI_A_score,BFI_C_score,BFI_N_score,BFI_O_score,Planfulness_score,r1.descriptiveness,r2.descriptiveness,r3.descriptiveness,r1.planfulness,r2.planfulness,r3.planfulness
8737292,4.333333333,3.846153846,3.55,3.582786885,3.711819143,3.203882635,3.672632635,4.166666667,3,3,3,3,4,4
8712837,3.833333333,3.384615385,3.216666667,3.216666667,3.184408602,3.470122888,3.563872888,3.3,2,2,3,2,3,2
8708719,4.083333333,3.615384615,3.466666667,3.204371585,3.720500617,3.212564109,3.650064109,4.333333333,2,1,1,4,3,3
8663947,3.666666667,3.692307692,3.4,3.203278689,3.461343205,3.302613046,3.365113046,3.966666667,1,1,1,1,1,1
8662560,2.333333333,3,3.2,3.429508197,3.494024326,3.557516389,3.213766389,3.566666667,2,1,1,3,3,3
8645963,2.5,2.384615385,3.45,3.581147541,3.452115283,3.674337505,3.643087505,3.066666667,1,2,3,4,4,4
8493302,4,3.615384615,3.566666667,3.468306011,3.53282214,3.024885632,3.306135632,4.2,1,2,1,3,2,2
8455627,3.5,3.846153846,3.266666667,3.135519126,3.264551384,2.947091066,3.540841066,3.033333333,2,2,1,3,2,2
8444711,3.5,3.461538462,3.05,3.148360656,3.245134849,3.022912627,3.304162627,3.433333333,2,1,1,2,2,2
8408469,3.916666667,4,3.216666667,3.183879781,3.345170104,2.773741533,3.117491533,4.2,1,1,1,2,1,1
8407341,4.333333333,3.230769231,3.55,3.222131148,3.38342147,3.288183375,3.381933375,4.3,2,2,2,4,4,4
8376713,3.25,3.307692308,3.316666667,3.447814208,3.222007756,3.126769661,3.533019661,3.166666667,1,1,1,2,1,1
8375467,2.916666667,2.615384615,3.65,3.551639344,3.454865151,3.359627055,3.672127055,3.633333333,1,1,2,2,1,1
8372610,3.916666667,3.769230769,3.033333333,3.328415301,3.360673365,3.074959079,3.387459079,3.866666667,1,1,1,2,3,4
8276906,4.416666667,3.230769231,3.733333333,3.536612022,3.794676538,3.572454316,3.728704316,4.666666667,2,2,2,2,2,2
8251996,3.25,3.384615385,3.383333333,3.416120219,3.319346025,3.319346025,3.569346025,3.766666667,1,1,1,2,1,1
8201679,3.5,2.692307692,3.116666667,3.444535519,3.186471003,2.742026559,3.210776559,2.933333333,2,1,1,1,1,1
8132502,3.25,3.538461538,3.316666667,3.251092896,3.218834832,3.441057054,3.472307054,3.7,2,1,1,2,1,1
8119386,3.166666667,2.692307692,3.216666667,3.183879781,2.990331394,2.958585363,3.271085363,3.366666667,2,2,2,2,2,2
8081236,4.833333333,4.384615385,3.5,3.467213115,3.499471179,2.832804513,3.239054513,4.166666667,2,1,1,1,1,1
8068657,3,2.769230769,3.3,3.23442623,3.395716552,3.427462584,3.552462584,3.466666667,1,2,2,2,2,1
8066597,4.25,4,3.65,3.420491803,3.646298255,3.233599842,3.358599842,4,0,0,0,0,0,0
8048076,2.833333333,3.307692308,3.066666667,3.066666667,3.131182796,3.004198669,3.066698669,3.566666667,1,1,1,1,1,1
7995717,3.333333333,3.846153846,3.35,3.317213115,3.478503437,3.192789152,3.317789152,3.666666667,1,3,2,3,5,4
7977801,3.416666667,4.076923077,3.05,3.148360656,3.019328398,2.797106175,3.047106175,3.8,1,3,2,3,4,4
7891486,4,3.692307692,3.133333333,3.067759563,3.164533756,2.974057566,3.286557566,3.933333333,1,2,1,2,2,3
7791280,3.333333333,2.307692308,3.466666667,3.499453552,3.338163229,3.750861642,3.563361642,3.4,2,2,1,1,4,2
7784811,3.916666667,3.846153846,3.683333333,3.421038251,3.550070509,3.296102255,3.764852255,4.066666667,1,1,2,1,2,1
7752402,3.583333333,4,2.85,3.046721311,3.17575357,3.17575357,3.05075357,3.733333333,3,3,3,4,5,5
7749203,3.5,2.461538462,3.3,3.168852459,3.297884717,3.329630749,3.235880749,3.933333333,2,3,3,3,4,3
7739613,3,3,3,3,3,3,3,3,1,1,1,1,1,1
7700527,4.083333333,4.615384615,3.1,3.1,3.519354839,3.233640553,3.171140553,3.333333333,3,3,1,3,5,2
7515773,2.833333333,3.461538462,3.216666667,3.708469945,3.514921558,3.070477114,3.507977114,4,1,2,3,2,3,4
7514395,3.583333333,3.692307692,3.65,3.453278689,3.453278689,3.326294562,3.763794562,3.7,2,3,3,2,3,1
7502556,3.75,4.153846154,2.983333333,3.311202186,3.311202186,2.803265678,3.240765678,3.766666667,1,2,3,4,3,2
7479255,3.75,3.923076923,3.333333333,3.005464481,3.392561255,2.884624747,3.197124747,4.433333333,1,2,1,3,5,3
7455922,3.666666667,2.923076923,3.216666667,3.511748634,3.285942182,3.254196151,3.160446151,3.766666667,1,1,2,2,2,2
7448820,3.75,3.461538462,3.65,3.420491803,3.420491803,3.293507676,3.387257676,3.633333333,1,1,1,1,1,1
7406147,3.833333333,4.230769231,3.333333333,3.431693989,3.205887537,2.729697061,3.323447061,4.066666667,1,2,2,2,2,2
7378094,3.333333333,3.153846154,3.1,3.263934426,3.199418297,3.008942107,3.071442107,3.766666667,1,1,1,1,1,1
7348242,2.333333333,2.461538462,3.566666667,3.238797814,3.432346201,3.59107636,3.68482636,3.1,2,2,1,3,2,4
7339014,3.583333333,3.846153846,3.183333333,3.380054645,3.315538516,2.934586135,3.184586135,3.466666667,2,1,1,1,2,1
7329754,3,3.692307692,3.266666667,3.365027322,3.235995064,2.823296652,3.292046652,4.1,3,3,3,4,5,5
7315112,3.166666667,3,3.416666667,3.318306011,3.350564075,3.191833917,3.379333917,3.066666667,2,2,2,4,3,4
7223859,3.416666667,3,3.166666667,3.56010929,3.56010929,3.274395004,3.086895004,3.666666667,3,3,2,5,5,3
7099868,3.75,3.384615385,3.233333333,3.39726776,3.235977437,3.235977437,3.267227437,3.233333333,1,2,2,4,2,3
7067481,3.666666667,3.230769231,3.266666667,3.201092896,3.168834832,2.978358641,3.290858641,3.533333333,1,2,2,2,2,3
7024710,2.666666667,3.307692308,3.516666667,3.516666667,3.419892473,3.419892473,3.482392473,3.8,1,1,1,2,1,1
7018231,4,4.769230769,3.616666667,3.419945355,3.871558258,3.36362175,3.64487175,4.566666667,2,2,1,2,3,3
6976755,3.583333333,3.384615385,2.916666667,3.31010929,3.116560903,3.021322807,3.271322807,3.066666667,2,2,1,3,2,2
6974062,2.5,2.846153846,3.05,2.951639344,3.016155473,2.857425315,3.201175315,2.7,2,3,2,5,4,3
6966788,3.666666667,3.076923077,3.666666667,3.273224044,3.208707915,3.272199978,3.459699978,4.366666667,3,3,1,2,4,2
6932549,2.75,2.692307692,3.366666667,3.366666667,3.302150538,3.365642601,3.303142601,3.066666667,1,1,1,1,1,1
6777207,3.833333333,3.538461538,2.866666667,3.227322404,3.227322404,2.909862087,3.128612087,3.6,1,2,2,3,4,2
6710326,2.5,2.230769231,3.55,3.353278689,3.159730301,3.508936651,3.446436651,2.766666667,2,1,2,2,1,2
6692547,3,3.307692308,3.083333333,2.952185792,3.145734179,3.018750052,3.206250052,3.033333333,1,1,1,2,2,2
6654060,3.5,2.846153846,3.1,3.296721311,3.103172924,3.325395147,3.356645147,3.833333333,1,2,1,2,2,2
6637482,2.75,3,3.5,3.172131148,3.430195664,3.398449632,3.398449632,3.633333333,2,2,2,2,3,3
6572616,3.833333333,3.230769231,3.216666667,3.511748634,3.12465186,3.156397891,3.468897891,3.766666667,2,2,2,2,2,1
6553467,3.583333333,2.923076923,3.633333333,3.502185792,3.598959986,3.503721891,3.628721891,3.866666667,2,2,2,2,2,1
6547825,2.666666667,2.692307692,3.516666667,3.35273224,3.320474176,3.796664652,3.640414652,3.133333333,1,1,1,1,1,1
6541162,3.416666667,3.153846154,3.4,3.268852459,3.55917504,3.273460754,3.242210754,3.666666667,1,2,1,2,3,2
6450853,2.75,3,3.316666667,3.218306011,3.347338269,3.18860811,3.34485811,3.5,1,3,1,1,3,1
6380433,3.25,4,2.95,3.081147541,3.14566367,2.891695416,3.047945416,4.133333333,1,1,1,1,1,1
6337815,3.25,3.230769231,3.083333333,3.050546448,3.2763529,3.2763529,3.0263529,3.6,1,1,2,2,4,3
6311035,4.25,3.384615385,2.916666667,3.244535519,2.889696809,3.175411095,2.956661095,3.433333333,1,2,1,2,2,1
6303134,3.083333333,3.384615385,3.183333333,3.248907104,3.184390975,3.470105261,3.188855261,3.1,1,1,2,1,1,1
6295940,3.333333333,3.384615385,3.4,3.662295082,3.43648863,3.214266408,3.589266408,3.933333333,1,2,1,1,2,1
6213753,4.666666667,5,3.316666667,3.382240437,3.382240437,2.747319802,2.903569802,4.533333333,2,3,2,3,4,1
6195947,3.75,3.923076923,3.3,3.23442623,3.202168165,2.662485625,3.193735625,3.9,1,2,2,3,2,2
6142591,3.5,3.307692308,3.4,3.432786885,3.400528821,3.146560567,3.396560567,3.633333333,1,2,1,1,5,1
6099184,3.916666667,4.615384615,3.266666667,3.528961749,3.625735942,3.117799434,3.461549434,4.466666667,2,1,2,2,1,1
6099044,3.416666667,2.538461538,3.7,3.568852459,3.407562136,3.534546263,3.565796263,3.9,1,2,1,2,2,2
6085906,1.75,2.384615385,2.816666667,3.144535519,2.886471003,3.140439257,3.327939257,2.533333333,1,1,1,1,1,2
6077204,4.166666667,4,3.366666667,3.235519126,3.300035255,2.887336842,3.262336842,4.3,2,3,2,4,4,4
6036921,3.666666667,2.769230769,3.2,3.26557377,3.3300899,3.107867677,3.326617677,3.666666667,1,2,1,1,2,1
6024583,3.75,3.461538462,3.483333333,3.319398907,3.383915036,3.09820075,3.28570075,3.433333333,1,1,1,2,4,3
5991265,3.833333333,3.461538462,3.55,3.681147541,3.552115283,3.13941687,3.70191687,4.3,1,2,1,2,2,2
5982724,3.083333333,3.384615385,3.25,3.348360656,3.283844527,3.220352463,3.407852463,3.933333333,1,2,1,1,2,2
5945214,3.916666667,4.230769231,3.583333333,3.386612022,3.644676538,3.263724157,3.482474157,4.2,1,1,2,1,1,1
5936908,1.833333333,1.538461538,3.35,3.481147541,2.997276573,3.409974986,3.347474986,2.266666667,1,1,1,1,3,2
5898398,4,4.538461538,3.483333333,3.253825137,3.447373524,2.844198921,3.375448921,4.333333333,1,1,1,1,1,2
5872083,3,3.384615385,3.116666667,3.444535519,3.02518068,2.993434649,3.243434649,3.533333333,1,2,1,1,2,1
5865439,2.5,2.461538462,3.266666667,3.201092896,3.072060638,2.849838416,3.443588416,2.566666667,1,1,2,3,3,4
5830426,3.166666667,3,3.083333333,3.116120219,3.116120219,3.084374187,3.021874187,3.233333333,1,1,1,1,1,1
5817608,3.75,3.384615385,3.6,3.403278689,3.435536753,3.499028817,3.561528817,4,1,1,1,1,1,1
5757111,4.083333333,3.692307692,3.85,3.554918033,3.651692226,3.334231909,3.646731909,4.233333333,1,2,2,3,2,3
5734690,3.666666667,3.692307692,3.233333333,3.298907104,3.331165168,3.045450883,3.264200883,3.5,1,2,1,1,2,1
5713639,3.666666667,2.461538462,3.683333333,3.683333333,3.58655914,3.396082949,3.802332949,3.266666667,1,1,1,1,1,1
5705288,3.583333333,3.230769231,3.116666667,3.346174863,3.571981315,3.571981315,3.290731315,4.066666667,1,1,2,2,4,4
5685891,3.166666667,3.076923077,3.183333333,3.314480874,3.249964745,3.091234587,3.403734587,3.4,1,1,1,1,1,1
5631135,4.333333333,3.846153846,3.2,3.396721311,3.332205182,3.014744865,3.452244865,3.933333333,1,2,2,2,2,5
5565174,2.666666667,2.846153846,3.366666667,3.399453552,3.205905165,2.951936911,3.295686911,3.666666667,2,2,2,2,4,4
5463339,3.916666667,4.307692308,3.75,3.487704918,3.745769434,3.174340863,3.674340863,4.266666667,0,0,0,0,0,0
5457976,2.583333333,2.461538462,3.466666667,3.269945355,3.398977613,3.462469677,3.431219677,2.733333333,1,2,1,2,2,4
5346310,2.666666667,2.769230769,3.366666667,3.20273224,3.267248369,2.91804202,3.51179202,3.933333333,2,3,2,2,3,1
5343721,3.083333333,2.615384615,3.5,3.270491803,3.367265997,3.24028187,3.39653187,3.433333333,2,1,2,2,2,2
5282577,4.25,3.538461538,3.083333333,3.214480874,3.278997003,2.866298591,3.053798591,3.966666667,1,1,1,1,1,1
5274406,3.166666667,3.461538462,3.366666667,3.432240437,3.464498502,3.210530248,3.585530248,3.766666667,1,1,1,1,1,1
5259185,3.833333333,3.230769231,3.233333333,3.266120219,3.266120219,2.885167838,3.447667838,3.866666667,2,2,2,2,4,3
5154721,3.166666667,3.307692308,3.566666667,3.435519126,3.661325577,3.661325577,3.317575577,3.9,1,1,2,1,3,2
5004738,2.5,2.076923077,3.3,3.168852459,3.136594395,3.295324553,3.295324553,3.6,1,2,1,2,2,2
4972257,3.25,2.923076923,3.2,3.232786885,3.26504495,3.233298918,3.358298918,3.733333333,2,2,2,2,4,3
4950278,3.75,3.923076923,3.483333333,3.417759563,3.482275692,3.228307438,3.415807438,3.7,2,2,2,2,2,2
4947494,3.833333333,3.076923077,3.183333333,3.248907104,3.313423233,3.091201011,3.278701011,4,1,2,1,2,3,2
4894535,4.416666667,2.769230769,3.55,3.582786885,3.582786885,3.551040853,3.238540853,4,1,1,1,1,2,2
4880600,3.583333333,3.692307692,3.2,3.2,3.232258065,2.78781362,3.22531362,4.433333333,1,1,1,1,1,1
4847444,3.5,3.461538462,3.283333333,3.250546448,3.4763529,3.222384646,3.472384646,3.833333333,1,1,1,1,1,1
4813711,3.416666667,3,3.333333333,3.300546448,3.300546448,3.268800416,3.112550416,3.133333333,1,1,1,1,1,1
4802964,3,3,3.2,3.167213115,3.231729244,3.072999085,3.135499085,3,1,1,2,1,1,1
4755059,4.166666667,3.615384615,3.733333333,3.503825137,3.632857395,3.378889141,3.410139141,3.966666667,1,1,1,1,1,1
4712015,3.416666667,4.384615385,3.1,3.16557377,3.294606029,3.008891743,3.415141743,3.866666667,1,2,2,1,3,3
4696349,3.5,3.076923077,3.616666667,3.583879781,3.616137846,3.457407687,3.707407687,3.9,1,2,1,1,2,2
4689059,4,2.846153846,3.633333333,3.436612022,3.275321699,3.307067731,3.400817731,3.4,2,3,1,1,3,2
4663458,3,4.153846154,3.566666667,3.40273224,3.564022563,3.786244785,3.786244785,3.8,1,1,1,1,2,2
4650675,2.916666667,3.076923077,3.066666667,3.165027322,3.390833774,2.882897266,3.320397266,3.333333333,2,3,1,1,3,1
4631231,3.333333333,2.615384615,3.55,3.287704918,3.51351137,3.291289147,3.478789147,3.866666667,1,1,1,1,1,1
4599990,3.083333333,2.769230769,3.233333333,3.331693989,3.234919796,3.298411859,3.329661859,3.666666667,2,1,1,2,1,2
4595242,3,3.846153846,3.616666667,3.780601093,3.651568835,3.334108517,3.459108517,4,1,2,2,1,2,3
4589015,4.166666667,3.615384615,3.566666667,3.304371585,3.723726423,3.533250233,3.595750233,4.1,1,1,1,1,1,1
4567765,4.083333333,3.923076923,3.483333333,3.319398907,3.416173101,2.939982624,3.158732624,4.2,1,2,2,2,4,3
4425290,3.75,3.384615385,3.35,3.41557377,3.157509254,3.125763223,3.407013223,4.066666667,1,2,2,2,2,2
4362856,4,4.076923077,3.25,3.118852459,3.247884717,3.184392654,3.184392654,3.766666667,2,2,2,1,2,2
4316926,2.5,3.230769231,3.266666667,3.135519126,3.200035255,3.136543191,3.386543191,3.1,2,2,1,1,2,1
4303823,4.5,3.846153846,3.1,3.231147541,3.231147541,2.945433255,3.039183255,4.333333333,0,0,0,0,0,0
4285466,4.083333333,3.692307692,3.25,3.348360656,3.348360656,3.189630497,3.470880497,4.1,1,2,1,2,2,2
4241423,3.25,3.923076923,2.983333333,3.14726776,3.405332276,2.992633863,3.211383863,4.2,2,3,3,5,5,5
4229533,3.166666667,2.461538462,3.533333333,3.402185792,3.466701921,3.403209858,3.403209858,2.933333333,1,2,1,3,3,3
4117553,4.416666667,4.307692308,3.016666667,3.311748634,3.279490569,2.835046125,3.241296125,4.633333333,1,2,2,3,2,4
4045358,3.833333333,4,3.433333333,3.334972678,3.399488807,3.209012616,3.490262616,4.233333333,2,3,2,3,4,3
4007565,3.416666667,3.076923077,3.383333333,3.284972678,3.414004936,2.937814459,3.375314459,3.566666667,1,2,1,1,2,2
3948515,4,3.692307692,3.3,3.23442623,3.427974617,3.078768267,3.297518267,3.8,2,2,1,2,3,2
3906461,3.583333333,3.538461538,3.383333333,3.284972678,3.317230742,3.221992647,3.440742647,3.766666667,3,3,3,4,5,4
3895592,4.083333333,3.923076923,3.65,3.420491803,3.61404019,3.201341778,3.576341778,4.233333333,1,2,2,2,2,2
3845160,3.333333333,3,2.9,2.932786885,3.094077208,3.348045462,3.066795462,2.9,1,1,2,1,1,1
3776701,3,2.384615385,3.266666667,3.10273224,3.10273224,3.166224304,3.103724304,2.933333333,1,1,1,1,1,1
3772598,3.416666667,2.923076923,3.483333333,3.188251366,3.28502556,3.665977941,3.603477941,4.066666667,1,2,2,2,3,2
3771112,3,2.769230769,3.583333333,3.386612022,3.612418473,3.326704188,3.639204188,4.2,1,2,3,2,4,3
3761388,3.916666667,3.461538462,3.25,3.217213115,3.281729244,2.996014958,3.183514958,4,1,1,1,1,1,1
3752024,4,4.461538462,3.166666667,3.232240437,3.361272695,2.916828251,3.104328251,3.933333333,1,2,1,2,3,2
3613263,3.416666667,3,3.65,3.453278689,3.614569011,3.360600757,3.641850757,3.733333333,1,1,1,1,2,1
3607503,4.333333333,4.615384615,3.366666667,3.432240437,3.561272695,3.148574283,3.398574283,4.233333333,1,1,1,1,1,2
3576039,3.416666667,3,3.65,3.453278689,3.356504495,3.45174259,3.45174259,3.966666667,2,2,2,3,3,4
3555363,3.916666667,3.230769231,3.183333333,3.216120219,3.312894412,2.868449968,3.337199968,3.333333333,1,1,1,1,1,2
3524249,4,3.846153846,3.466666667,3.433879781,3.466137846,3.085185465,3.397685465,3.866666667,1,1,1,1,1,2
3479008,3.583333333,2.615384615,3.15,3.313934426,3.217160233,3.185414201,3.310414201,3.466666667,1,1,1,1,1,1
3465891,3.5,3.461538462,3.366666667,3.465027322,3.400511193,3.495749289,3.370749289,3.8,1,1,1,1,1,3
3450004,2.416666667,2.307692308,3.366666667,3.497814208,3.36878195,3.210051791,3.460051791,2.233333333,2,3,1,2,2,2
3445767,3.833333333,3.153846154,3.4,3.268852459,3.301110524,3.332856555,3.426606555,4,2,2,2,2,3,4
3424563,3.333333333,1.846153846,3.266666667,3.430601093,3.108020448,3.647702987,3.585202987,3.5,1,1,2,1,1,3
3414626,1.75,1.923076923,3.316666667,3.349453552,3.317195487,3.666401837,3.635151837,2.933333333,2,2,3,2,3,4
3380770,4,4,3.4,3.662295082,3.307456372,3.180472245,3.555472245,4.333333333,1,2,3,1,3,4
3363427,3.916666667,4.307692308,3.583333333,2.993169399,3.444782302,3.063829921,3.501329921,4.366666667,1,2,2,2,2,4
3245442,4,3,3.483333333,3.680054645,3.615538516,3.488554389,3.707304389,3.566666667,1,2,2,2,2,2
3140473,3.5,2.384615385,3.5,3.467213115,3.628503437,3.596757406,3.628007406,3.233333333,1,2,1,1,2,1
3137978,3,3.153846154,3.083333333,3.214480874,3.053190552,3.243666742,3.337416742,3.8,1,1,1,1,1,1
3136767,4,3.769230769,3.3,3.529508197,3.464992068,3.369753972,3.526003972,4.033333333,2,3,2,3,5,4
3041523,3.166666667,3,3.133333333,3.198907104,3.069874846,3.228605004,3.322355004,3.833333333,1,1,1,1,2,3
3036253,2.833333333,3.307692308,3.616666667,3.38715847,3.451674599,3.324690472,3.793440472,4,1,1,1,1,2,2
2942824,2.583333333,3,3.05,3.443442623,2.99182972,3.087067815,3.462067815,3.233333333,1,1,1,1,1,1
2927540,2.583333333,3.384615385,3.566666667,3.763387978,3.408549268,3.376803237,3.720553237,3.466666667,1,1,2,1,1,1
2927483,3.166666667,3.230769231,3.116666667,3.378961749,3.346703684,3.378449716,3.534699716,4.066666667,1,2,1,2,2,1
2850841,3.833333333,3.076923077,3.6,3.796721311,3.441882602,3.568866729,3.631366729,3.966666667,1,2,1,1,2,1
2824866,3.583333333,3.307692308,3.45,3.581147541,3.613405605,3.32769132,3.35894132,3.833333333,1,1,2,1,1,1
2801749,3.916666667,3.615384615,3.033333333,3.19726776,3.390816147,3.073355829,3.354605829,4,1,2,2,2,3,4
2786458,3.666666667,2.692307692,3.433333333,3.531693989,3.46717786,3.340193733,3.590193733,3.3,1,2,2,2,3,3
2728355,2.5,2.846153846,3.016666667,3.246174863,3.246174863,2.960460578,3.179210578,3.266666667,1,1,1,1,1,1
2625700,2.583333333,2.307692308,3.166666667,3.199453552,3.134937423,3.357159645,3.232159645,3.133333333,1,2,1,1,2,1
2462124,2.166666667,1.923076923,3.2,3.003278689,3.035536753,3.416489134,3.603989134,2.7,1,1,1,1,1,1
2451496,3.333333333,3.307692308,3.366666667,3.333879781,3.204847523,3.109609428,3.359609428,3.733333333,1,1,1,1,1,1
2448383,2.25,2.538461538,3.116666667,3.215027322,3.150511193,3.055273098,3.274023098,2.9,1,2,1,2,3,3
2424215,3.833333333,3.461538462,3.6,3.436065574,3.468323638,3.50006967,3.37506967,3.866666667,1,1,1,2,2,2
2420394,3.166666667,3.153846154,3.35,3.186065574,3.057033316,2.803065062,3.240565062,3.8,1,1,1,1,1,2
2409675,3.083333333,2.461538462,3.433333333,3.59726776,3.177912921,3.177912921,3.677912921,3.333333333,1,1,1,2,1,2
2357201,3.333333333,2.769230769,3.016666667,3.246174863,3.407465186,3.248735027,3.248735027,3.266666667,1,1,1,1,1,1
2315043,3.083333333,3.846153846,2.883333333,3.11284153,3.274131853,2.829687408,2.860937408,3.2,1,2,3,1,4,4
2313549,4.25,3.076923077,3.466666667,3.269945355,3.398977613,3.018025232,3.268025232,3.933333333,2,2,2,2,3,3
2284133,3.5,3.615384615,3.083333333,3.148907104,3.213423233,3.022947042,3.210447042,3.7,1,1,2,2,2,2
2277607,1.833333333,1.769230769,3.583333333,3.025956284,3.122730478,3.567174922,3.598424922,2.5,1,1,2,2,1,2
2254322,3,2.692307692,3.15,3.051639344,2.954865151,3.240579436,3.271829436,2.666666667,1,2,2,1,2,1
2232693,4,3.461538462,3.35,3.41557377,3.4800899,3.353105773,3.196855773,3.7,1,2,2,2,3,3
2222040,3.5,3.307692308,2.983333333,3.180054645,3.276828838,3.213336775,3.182086775,3.7,1,2,1,1,3,2
2197963,3.666666667,3.692307692,3.433333333,3.433333333,3.304301075,3.304301075,3.335551075,4.1,1,2,2,2,2,2
2196603,2.25,3.615384615,3.283333333,3.086612022,3.280160409,3.597620726,3.628870726,2.8,1,2,1,1,2,2
2191928,3.25,2.692307692,3.25,3.31557377,3.3800899,3.443581963,3.349831963,3.2,1,2,1,1,2,1
2181249,2.333333333,2.615384615,3.116666667,3.018306011,3.115080204,3.337302427,3.243552427,2.966666667,1,1,1,1,1,1
